,Unnamed: 0,shotzones,season,team,description,shotzones.1,statF,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
0,0,ownGoals,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,ownGoals,ownGoals,0,0,0.0,1.0,1.0,1.0,-1.0,,1.0,71
1,1,shotOboxTotal,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,168,3,4.729452880099416,186.0,8.0,5.738690706901253,-1.0092378268018365,0.028151505238687,0.030853175843555118,71
2,2,shotPenaltyArea,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,225,24,23.327713225968186,270.0,36.0,34.990333713125445,-11.662620487157257,0.10367872544874747,0.12959382856713125,71
3,3,shotSixYardBox,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,24,4,5.137062033638358,24.0,12.0,9.836178341880439,-4.699116308242084,0.21404425140159825,0.4098407642450184,71
4,4,ownGoals,2014,Everton,Everton xG stats for the 2014/2015 season ,ownGoals,ownGoals,2,2,2.0,2.0,2.0,2.0,0.0,1.0,1.0,72
5,5,shotOboxTotal,2014,Everton,Everton xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,238,8,7.163022377993912,230.0,6.0,7.333536992780862,-0.17051461478695273,0.030096732680646686,0.03188494344687332,72
6,6,shotPenaltyArea,2014,Everton,Everton xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,224,29,30.54320882726461,248.0,33.0,29.986293572001166,0.5569152552634478,0.1363536108360027,0.12091247408064985,72
7,7,shotSixYardBox,2014,Everton,Everton xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,21,9,7.385127617046237,25.0,9.0,9.245904713869097,-1.8607770968228576,0.3516727436688684,0.3698361885547638,72
8,8,ownGoals,2014,Southampton,Southampton xG stats for the 2014/2015 season ,ownGoals,ownGoals,5,5,5.0,0.0,0.0,0.0,5.0,1.0,,74
9,9,shotOboxTotal,2014,Southampton,Southampton xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,192,4,5.829753543250263,156.0,7.0,4.366684481035918,1.4630690622143447,0.03036329970442845,0.02799156718612768,74
10,10,shotPenaltyArea,2014,Southampton,Southampton xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,287,38,39.54495547991246,203.0,20.0,26.789085010997947,12.755870468914509,0.1377873013237368,0.13196593601476822,74
11,11,shotSixYardBox,2014,Southampton,Southampton xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,31,7,10.457074251025917,26.0,6.0,8.4198286999017,2.037245551124215,0.3373249758395456,0.32383956538083464,74
12,12,ownGoals,2014,Leicester,Leicester xG stats for the 2014/2015 season ,ownGoals,ownGoals,1,1,1.0,5.0,5.0,5.0,-4.0,1.0,1.0,75
13,13,shotOboxTotal,2014,Leicester,Leicester xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,167,8,5.893948218319565,239.0,5.0,7.372612269595264,-1.4786640512757003,0.03529310310370997,0.030847750081988562,75
14,14,shotPenaltyArea,2014,Leicester,Leicester xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,260,25,31.12089321948588,282.0,32.0,35.906357064377524,-4.785463844891638,0.11969574315186875,0.12732750732048764,75
15,15,shotSixYardBox,2014,Leicester,Leicester xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,30,12,11.544589653611185,37.0,13.0,14.529886894859375,-2.9852972412481904,0.3848196551203728,0.3926996458070101,75
16,16,ownGoals,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,ownGoals,ownGoals,1,1,1.0,0.0,0.0,0.0,1.0,1.0,,76
17,17,shotOboxTotal,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,190,3,5.425930588040501,257.0,8.0,7.764193833805621,-2.33826324576512,0.028557529410739482,0.030210870948660002,76
18,18,shotPenaltyArea,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,186,22,23.18824860267341,253.0,30.0,32.08577037695795,-8.897521774284543,0.12466800324017965,0.12682122678639507,76
19,19,shotSixYardBox,2014,West_Bromwich_Albion,West Bromwich Albion xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,35,12,10.623155580833554,37.0,13.0,14.604014221578836,-3.9808586407452817,0.3035187308809587,0.3947030870696983,76
20,20,ownGoals,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,ownGoals,ownGoals,1,1,1.0,5.0,5.0,5.0,-4.0,1.0,1.0,77
21,21,shotOboxTotal,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,194,6,5.514282682910562,294.0,6.0,7.972316695377231,-2.458034012466669,0.02842413754077609,0.02711672345366405,77
22,22,shotPenaltyArea,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,185,16,22.807457353919744,304.0,32.0,33.541593303903944,-10.734135949984193,0.12328355326443105,0.110334188499684,77
23,23,shotSixYardBox,2014,Sunderland,Sunderland xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,29,8,9.301570070907477,28.0,10.0,10.06592514552176,-0.7643550746142864,0.32074379554853355,0.3594973266257772,77
24,24,ownGoals,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,ownGoals,ownGoals,1,1,1.0,0.0,0.0,0.0,1.0,1.0,,78
25,25,shotOboxTotal,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,166,6,4.2680714800953865,244.0,10.0,7.1502712769433865,-2.8821997968479987,0.02571127397647823,0.02930439047927617,78
26,26,shotPenaltyArea,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,232,26,26.9525656029582,252.0,32.0,29.28045523818583,-2.3278896352276206,0.1161748517368888,0.11619228269121358,78
27,27,shotSixYardBox,2014,Crystal_Palace,Crystal Palace xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,44,14,14.777591082267465,30.0,9.0,10.28929965943098,4.4882914228364825,0.335854342778806,0.342976655314366,78
28,28,ownGoals,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,ownGoals,ownGoals,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,80
29,29,shotOboxTotal,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,230,7,8.550727932713926,207.0,5.0,5.937324411701411,2.6134035210125157,0.03717707796832142,0.028682726626576862,80
30,30,shotPenaltyArea,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,292,46,42.09741835296154,195.0,21.0,22.205242816358805,19.892175536602736,0.1441692409347998,0.1138730400838913,80
31,31,shotSixYardBox,2014,Chelsea,Chelsea xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,42,19,20.26316860690713,14.0,5.0,3.664569515734911,16.598599091172222,0.4824563954025507,0.2617549654096365,80
32,32,ownGoals,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,ownGoals,ownGoals,1,1,1.0,2.0,2.0,2.0,-1.0,1.0,1.0,81
33,33,shotOboxTotal,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,176,9,5.37682244181633,250.0,4.0,7.530424521770327,-2.1536020799539983,0.030550127510320057,0.03012169808708132,81
34,34,shotPenaltyArea,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,266,23,28.914620256517075,300.0,27.0,37.554230094887316,-8.639609838370234,0.10870157991171836,0.12518076698295771,81
35,35,shotSixYardBox,2014,West_Ham,West Ham xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,47,11,12.654035275802016,38.0,14.0,13.648778235539794,-0.9947429597377776,0.2692347931021706,0.3591783746194683,81
36,36,ownGoals,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,ownGoals,ownGoals,2,2,2.0,2.0,2.0,2.0,0.0,1.0,1.0,82
37,37,shotOboxTotal,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,272,11,7.851280313916504,155.0,7.0,5.334290542174131,2.5169897717423737,0.0288650011541048,0.034414777691446005,82
38,38,shotPenaltyArea,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,227,33,34.07220072811469,299.0,35.0,41.76808941457421,-7.6958886864595115,0.1500978005643819,0.13969260673770634,82
39,39,shotSixYardBox,2014,Tottenham,Tottenham xG stats for the 2014/2015 season ,shotSixYardBox,shotSixYardBox,28,12,11.224704623222351,36.0,9.0,10.879529023543,0.34517559967935085,0.4008823079722269,0.3022091395428611,82
40,40,ownGoals,2014,Arsenal,Arsenal xG stats for the 2014/2015 season ,ownGoals,ownGoals,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,83
41,41,shotOboxTotal,2014,Arsenal,Arsenal xG stats for the 2014/2015 season ,shotOboxTotal,shotOboxTotal,233,9,8.357842826284468,165.0,3.0,4.3906134930439285,3.967229333240539,0.035870570069890424,0.026609778745720784,83
42,42,shotPenaltyArea,2014,Arsenal,Arsenal xG stats for the 2014/2015 season ,shotPenaltyArea,shotPenaltyArea,343,46,49.47665118519218,212.0,23.0,23.826809974387288,25.649841210804876,0.1442467964582862,0.1123906130867325,83
